innings,Over,Commentary,active_partnership,reviews,Review_team,Review_batsman,Review_umpire,Review_outcome,Umpires_call,index,Partnership_broken,match,innings_action,overturned,review_lost,first_review_lost,second_review_lost
Australia 1st innings,103.2,"Yasir Shah to Labuschagne, no run, Marnus Labuschagne has been given out lbw and he's reviewed it straightaway. Fair delivery and there seems to be an inside edge involved. Oh yes! Clear mark on Hotspot as the ball passes the bat and we don't need an UltraEdge to confirm that. Telly umpire asks umpire Richard Illingworth to reverse his verdict. Not out. Labuschagne strides forward to this skiddy slider and got a healthy inside edge onto pad, the appeal was instant and so was the decision, but Labuschagne knew he's safe and didn't even bother walking up to his partner",3,"Over 103.2: Review by Australia (Batting), Umpire - RK Illingworth, Batsman - M Labuschagne (Upheld)",Australia (Batting),M Labuschagne,RK Illingworth,Upheld,False,3.0,False,aus-vs-pak-1st-test-pakistan-tour-of-australia-2019,Batting,True,False,,
Australia 1st innings,75.4,"Haris Sohail to Warner, no run, turning down leg, terrible delivery and Warner went for the sweep and missed it. The keeper realized late that there was a little sound as the ball went past the bat and appealed. The skipper also decided to review it. The replays don't seem to show an edge so Warner should survive this. Snicko shows a line as flat as a pool table. Review lost. Poor one indeed from Pakistan to have taken that review",2,"Over 75.4: Review by Pakistan (Bowling), Umpire - RK Illingworth, Batsman - DA Warner (Struck down)",Pakistan (Bowling),DA Warner,RK Illingworth,Struck down,False,1.0,False,aus-vs-pak-1st-test-pakistan-tour-of-australia-2019,Bowling,False,True,True,False
West Indies 1st innings,29.1,"Bumrah to Darren Bravo, out Lbw!! 50th Test wicket for Jasprit Bumrah. He was the most economical bowler for India thus far and the reward was always coming. Went wide of the crease and angled it into the left-hander, Bravo tries to shuffle across on the flick and gets caught in the crease. It pins him just below the knee roll and umpire Richard Kettleborough puts his finger up after a brief deliberation. Hitting the top of leg peg. Windies lose a review. Darren Bravo lbw b Bumrah 18(27) [4s-2 6s-1]",4,"Over 29.1: Review by West Indies (Batting), Umpire - RA Kettleborough, Batsman - DM Bravo (Struck down)",West Indies (Batting),DM Bravo,RA Kettleborough,Struck down,False,1.0,True,wi-vs-ind-1st-test-india-tour-of-west-indies-2019,Batting,False,False,,
India 1st innings,4.2,"Roach to Agarwal, out Caught by Shai Hope!! Another cracker and West Indies are confident that Mayank has edged it. Kettleborough says NO and we have a review. There was a sound as the ball went past the bat, UltraEdge suggests that it came from the bat. 'Richard, we have a spike on the bat', says Paul Reiffel and the decision has been changed. Mayank is OUT. Terrific bowling from Roach, he loves this ground, his 26th Test wicket at North Sound. Beautifully bowled once again, pitched up and came with the angle, made Mayank push forward before it straightened, enough to find the outside edge and Hope does the rest. Fair to say this was coming - both batsmen were struggling to cope with Roach's angle. Agarwal c Shai Hope b Roach 5(13) [4s-1]",1,"Over 4.2: Review by West Indies (Bowling), Umpire - RA Kettleborough, Batsman - MA Agarwal (Upheld)",West Indies (Bowling),MA Agarwal,RA Kettleborough,Upheld,False,0.0,True,wi-vs-ind-1st-test-india-tour-of-west-indies-2019,Bowling,True,False,,
Sri Lanka 2nd innings,43.5,"Southee to Karunaratne, out Lbw!! Karunaratne has been given lbw as he hasn't offered a shot. The skipper decides to challenge the onfield call, but to no avail. A brain fade for the captain and Southee is the beneficiary - achieves the feat of 250 Test wickets. Has been a memorable Test for both - Southee and Boult. They've got to the 250-wicket mark in the same match. This was speared into the batsman from round the wicket and the left hander didn't offer a shot, keeping his bat behind the pads, was a touch late to play it. Though the impact was well outside off, it had enough movement to shape in and rock the off-stump. Indecision, dilemma - the cause behind his downfall. Just the wicket the Kiwis were looking for. They can now possibly trigger a batting collapse, possibly. Karunaratne lbw b Southee 21(70) [4s-2]",6,"Over 43.5: Review by Sri Lanka (Batting), Umpire - BNJ Oxenford, Batsman - FDM Karunaratne (Struck down)",Sri Lanka (Batting),FDM Karunaratne,BNJ Oxenford,Struck down,False,5.0,True,sl-vs-nz-2nd-test-new-zealand-tour-of-sri-lanka-2019,Batting,False,False,,
Sri Lanka 1st innings,85.1,"Southee to Lasith Embuldeniya, out Lbw!! Embuldeniya has been adjudged lbw and he's decided to challenge the call. Looks very close, probably hitting the leg stump. It's hitting middle and leg. And the onfield decision stays. A fine delivery by Southee, this. Pitches on middle and jags in ever so slightly, the batsman gets beaten due to the movement and is pinned right in front of the middle stump. Replays confirm three reds and the batsman will have to make his way back to the pavilion. Tim needs only a wicket more to complete his 5-for. Can he do it? Lasith Embuldeniya lbw b Southee 0(2)",9,"Over 85.1: Review by Sri Lanka (Batting), Umpire - MA Gough, Batsman - L Embuldeniya (Struck down)",Sri Lanka (Batting),L Embuldeniya,MA Gough,Struck down,False,3.0,True,sl-vs-nz-2nd-test-new-zealand-tour-of-sri-lanka-2019,Batting,False,False,,
Sri Lanka 2nd innings,60.2,"Somerville to Thirimanne, out Lbw!! Loud shout for LBW and New Zealand want a review. Did it straighten enough? It's a fair delivery, no bat on that and UltraEdge confirms it. Hawk-Eye in: It's three REDS and New Zealand have broken through, Thirimanne is OUT. A very good review from the visitors, but did they have any other option? Can they cash in on this opening? Thirimanne falls after a fine knock, a superb partnership has been broken. This was the off-break from round the wicket, Thirimanne went down on his knees as he looked to sweep. The ball pitched around leg and did straighten, once the batsmen missed, he was always going to be in trouble, crashing into the leg-stump and Illingworth has to change his decision. Thirimanne lbw b Somerville 64(163) [4s-4]",1,"Over 60.2: Review by New Zealand (Bowling), Umpire - RK Illingworth, Batsman - HDRL Thirimanne (Upheld)",New Zealand (Bowling),HDRL Thirimanne,RK Illingworth,Upheld,False,3.0,True,sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019,Bowling,True,False,,
New Zealand 2nd innings,105.6,"Dhananjaya de Silva to Ajaz Patel, out Lbw!! That looked straight and Ajaz has been given OUT LBW. With a review on offer, he decides to take a chance. Hold on, is it a no-ball? 'Very tight', says Bruce Oxenford. On second view, he deems it as a fair delivery. Clearly no bat, ball-tracking coming up. Three REDS and it will stay OUT. Sri Lanka need 268 to win. The frustration is finally over for the hosts - this was tossed up outside off and spun back in, stayed a bit low and struck Ajaz right in front of off, was going on and crashing into the middle-stump. Ajaz Patel lbw b Dhananjaya de Silva 14(23) [4s-1]",10,"Over 105.6: Review by New Zealand (Batting), Umpire - MA Gough, Batsman - AY Patel (Struck down)",New Zealand (Batting),AY Patel,MA Gough,Struck down,False,13.0,True,sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019,Batting,False,False,,
Sri Lanka 1st innings,93.2,"Somerville to Lasith Embuldeniya, out Lbw!! That looked plumb right through. But Embuldeniya just wanted to take a chance. The slider that drifts in with the round the wicket angle, Embuldeniya kneels down to play the sweep and misses it, beaten for pace and struck on the back thigh. The impact was in-line and it was going on to smash middle-stump. Somerville finishes with three wickets. Lasith Embuldeniya lbw b Somerville 5(17) [4s-1]",10,"Over 93.2: Review by Sri Lanka (Batting), Umpire - RK Illingworth, Batsman - L Embuldeniya (Struck down)",Sri Lanka (Batting),L Embuldeniya,RK Illingworth,Struck down,False,12.0,True,sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019,Batting,False,False,,
New Zealand 1st innings,58.2,"Dananjaya to Henry Nicholls, out Lbw!! Nicholls has been given out LBW and he wants a review. It's a fair delivery, is there any bat on that? Was it spinning past the off-stump? Bruce Oxenford wants the UltraEdge and there's clear daylight between bat, glove and the ball. Pitching in line, the impact is in line and it's hitting middle and leg. Three REDS and Nicholls is OUT. Fourth wicket for Dananjaya and he's on a roll - this was tossed up around leg and then straightened a tad, Nicholls was down on the knees as he looked to sweep, beaten by the extra bounce that Dananjaya procures - struck on the back-thigh, the impact was in front of middle and would have been crashing into the middle and leg stump. Umpire Illingworth got it spot on and New Zealand have lost their first review. Henry Nicholls lbw b Dananjaya 42(78) [4s-2]",4,"Over 58.2: Review by New Zealand (Batting), Umpire - RK Illingworth, Batsman - HM Nicholls (Struck down)",New Zealand (Batting),HM Nicholls,RK Illingworth,Struck down,False,0.0,True,sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019,Batting,False,False,,
South Africa 2nd innings,6.6,"Shami to du Plessis, out Lbw!! Shami's planning pays off finally. Went wide of the crease on two occasions prior to this against Faf. Both were fullish outswingers, one that was left alone and then saw one just beating the SA skipper's outside edge. On this occasion, the length is slightly shorter and the line is straighter as well. Faf gets pinned on the crease and is late to react as this straightens off the deck just a fraction to rap him on the back pad. The lower bounce didn't help either and it looked stone dead in real time. The umpire wasted no time in raising his finger but Faf, perhaps in desperation, went for the review. Was always going to be in trouble if he didn't hit this and UltraEdge confirms that he hasn't. As plumb as it gets. SA falling apart quickly once again. du Plessis lbw b Shami 4(10)",3,"Over 6.6: Review by South Africa (Batting), Umpire - NJ Llong, Batsman - F du Plessis (Struck down)",South Africa (Batting),F du Plessis,NJ Llong,Struck down,False,2.0,True,ind-vs-rsa-3rd-test-south-africa-tour-of-india-2019,Batting,False,False,,
South Africa 1st innings,56.2,"Nadeem to Anrich Nortje, out Lbw!! Only an inside edge could have saved Nortje there. He was struck plumb in front. The slider which skids on, Nortje presses forward and is beaten by the in-drift, the ball strikes him in front of middle and ball-tracking shows it to be going on to crash into leg-stump. Anrich Nortje lbw b Nadeem 4(55)",10,"Over 56.2: Review by South Africa (Batting), Umpire - RK Illingworth, Batsman - A Nortje (Struck down)",South Africa (Batting),A Nortje,RK Illingworth,Struck down,False,7.0,True,ind-vs-rsa-3rd-test-south-africa-tour-of-india-2019,Batting,False,False,,
India 1st innings,8.3,"Rabada to Pujara, out Lbw!! You could see this coming to be honest. Pujara is generally never comfortable against the in-coming ball, especially if it's at high pace and especially if the pacer has variations up his sleeve. Like Rabada does. He has been phenomenal this morning and this is another classical setup. The two-card trick, juggles between the outswinger and inswinger, and it's the latter that gets rid of Pujara. He wasn't that forward to this and looked to defend with a gap between bat and pad. The movement ensured that he was beaten on the inside edge and rapped on the back pad. Seemed dead plumb in real time and Faf was quick to review it. Works in SA's favor. Unless Pujara had got any bat, he was always a goner on this. Pujara lbw b Rabada 0(9)",2,"Over 8.3: Review by South Africa (Bowling), Umpire - RK Illingworth, Batsman - CA Pujara (Upheld)",South Africa (Bowling),CA Pujara,RK Illingworth,Upheld,False,0.0,True,ind-vs-rsa-3rd-test-south-africa-tour-of-india-2019,Bowling,True,False,,
South Africa 2nd innings,67.2,"Jadeja to Maharaj, out Lbw!! Final blow has been dealt by Jadeja. It was the quicker delivery, goes straight on and Maharaj is caught in the crease which led to his downfall. It crashes onto the pad in front of middle and only height was a factor that could've saved him. Tried his luck and took the review but in vain. A victory by an innings and 137 runs for India. As comprehensive as it gets. Maharaj lbw b Jadeja 22(65) [4s-3]",10,"Over 67.2: Review by South Africa (Batting), Umpire - CB Gaffaney, Batsman - KA Maharaj (Struck down)",South Africa (Batting),KA Maharaj,CB Gaffaney,Struck down,False,7.0,True,ind-vs-rsa-2nd-test-south-africa-tour-of-india-2019,Batting,False,False,,
South Africa 1st innings,105.4,"Ashwin to Rabada, out Lbw!! Rabada has been adjudged lbw. And, he reviews. Fair delivery. No bat. Was it straightening enough to hit the sticks? Hitting leg and umpire Chris Gaffaney's on-field call stays. A floaty ball that drifted in and Rabada ended up playing down the wrong line trying to block. The ball straightened ever so lightly before striking the batter's front pad adjacent to leg. The ball-tracking shows it to be crashing into leg-stump. Ashwin finishes with four wickets and it's also stumps on day three. Rabada lbw b Ashwin 2(9)",10,"Over 105.4: Review by South Africa (Batting), Umpire - CB Gaffaney, Batsman - K Rabada (Struck down)",South Africa (Batting),K Rabada,CB Gaffaney,Struck down,False,9.0,True,ind-vs-rsa-2nd-test-south-africa-tour-of-india-2019,Batting,False,False,,
South Africa 1st innings,44.2,"Jadeja to Senuran Muthusamy, out Lbw!! First dismissal for Senuran Muthusamy in Tests and he is out LBW because he offered no shot. That turned in from the rough and he was caught in the crease. There was a lot of spin on it but umpire Llong deemed it out and he was right as Hawkeye showed three reds. The impact was outside off but was taken out of the equation as he offered no shot. India breakthrough again. The umpire had a keen look and really took his time to deem him out. Senuran Muthusamy lbw b Jadeja 7(20)",7,"Over 44.2: Review by South Africa (Batting), Umpire - NJ Llong, Batsman - S Muthusamy (Struck down)",South Africa (Batting),S Muthusamy,NJ Llong,Struck down,False,6.0,True,ind-vs-rsa-2nd-test-south-africa-tour-of-india-2019,Batting,False,False,,
South Africa 1st innings,9.1,"Shami to Bavuma, out Caught by W Saha!! India review: Loud, pleading appeal for a caught-behind but umpire Chris Gaffaney is unmoved which has forced them to take the DRS. They are pretty confident and it's because there's a tiny edge. UltraEdge confirms it showing a spike. So, Bavuma doesn't last long. India continue to land punches here. Shami gets a wicket off his first delivery, couldn't have asked for a better start. But what a snorter of a delivery that was. Rears up off a length, luring Bavuma to feel for it before biting the outside edge. That bounce undid the batsman and the body language of Bavuma suggested that he did nick it behind. Anyway, the hosts are overjoyed, why not! Bavuma c W Saha b Shami 8(15) [4s-1]",3,"Over 9.1: Review by India (Bowling), Umpire - CB Gaffaney, Batsman - T Bavuma (Upheld)",India (Bowling),T Bavuma,CB Gaffaney,Upheld,False,1.0,True,ind-vs-rsa-2nd-test-south-africa-tour-of-india-2019,Bowling,True,False,,
South Africa 2nd innings,26.4,"Jadeja to Philander, out Lbw!! Philander played all around this. He sees the ball pitch around leg stump and looks to protect his pads with an angled bat - something you're not advised to do against spinners anywhere in the world, but Philander does just that and finds himself plumb lbw. Tries to cover for the angle but the ball spins big and slams him dead on the back pad. Umpire Chris Gaffaney gave it a long thought and shook his head in disapproval because there were doubts - if it pitched in line/was it spinning too much to miss off. Kohli had a word with RJ and signalled the review instantly. DRS shows ball pitching in-line, striking a good part of the off stump Philander lbw b Jadeja 0(3)",7,"Over 26.4: Review by India (Bowling), Umpire - CB Gaffaney, Batsman - VD Philander (Upheld)",India (Bowling),VD Philander,CB Gaffaney,Upheld,False,6.0,True,ind-vs-rsa-1st-test-south-africa-tour-of-india-2019,Bowling,True,False,,
South Africa 2nd innings,3.3,"Jadeja to Elgar, out Lbw!! Jadeja wheels away in his celebrappeal, absolutely convinced. But the umpire's finger remains unmoved. India are surely going to review this. It just looked out. Only thing to check was whether it pitched outside leg but - as ball-tracking shows - it hasn't. Cue the roars from the Indian players. Massive wicket to get rid of the first innings centurion so early. Skidded on from round the wicket, stayed low, went under Elgar's bat and trapped him right in front. Elgar lbw b Jadeja 2(16)",1,"Over 3.3: Review by India (Bowling), Umpire - RK Illingworth, Batsman - D Elgar (Upheld)",India (Bowling),D Elgar,RK Illingworth,Upheld,False,3.0,True,ind-vs-rsa-1st-test-south-africa-tour-of-india-2019,Bowling,True,False,,
India 2nd innings,50.6,"Philander to Pujara, out Lbw! Philander doesn't bother to appeal, that's how plumb that was! Pujara has reviewed this! NO WAY! Impact in line, hitting top of off-stump - O.U.T.!, as this straightener off the seam beats the leading edge of his would-be glance to strike him plumb in front, sealing his fate for the game. An unplayable delivery - that's the requirement to get Pujara out, and Philander has produced just that. Phenomenal bowling. Pujara lbw b Philander 81(148) [4s-13 6s-2]",2,"Over 50.6: Review by India (Batting), Umpire - RK Illingworth, Batsman - CA Pujara (Struck down)",India (Batting),CA Pujara,RK Illingworth,Struck down,False,5.0,True,ind-vs-rsa-1st-test-south-africa-tour-of-india-2019,Batting,False,False,,
South Africa 1st innings,131.2,"Ashwin to Rabada, out Lbw!! Huge appeal for lbw and India have reviewed this. Legal delivery and its three reds. No hiding for Rabada this time around. Waits deep inside the crease hoping to stay leg-side of the offbreak, the skiddy slider though comes in much quicker and pings him just below the knee roll in line with leg-stump. It seemed a bit dicey to the naked eye but replays suggest it did just enough to hold its line and paint the top of leg peg. Ashwin ends with a seven-fer and India have a lead of 71. Rabada lbw b Ashwin 15(17) [4s-3]",10,"Over 131.2: Review by India (Bowling), Umpire - RK Illingworth, Batsman - K Rabada (Upheld)",India (Bowling),K Rabada,RK Illingworth,Upheld,False,7.0,True,ind-vs-rsa-1st-test-south-africa-tour-of-india-2019,Bowling,True,False,,
Bangladesh 1st innings,6.3,"Ishant to Kayes, out Lbw!! This looked so out. Really good decision from Joel Wilson. Was under pressure after caught behind decision was reversed. But kept his cool, gave it a long thought and raised the finger. This is the new variety from Ishant, the leg-cutter that comes out scrambled seam and then cuts back in/holds its line from round the wicket. He's set Kayes with away-swingers and then slipped this in. Kayes's head was outside the line and he missed the ball completely looking to play to leg. Impact in line with middle and leg and given. He spoke to Shadman Islam and then sent the case upstairs, only to lose a review as ball-tracker says crashing leg pole. India get their first wicket. Kayes lbw b Ishant 4(15)",1,"Over 6.3: Review by Bangladesh (Batting), Umpire - JS Wilson, Batsman - Imrul Kayes (Struck down)",Bangladesh (Batting),Imrul Kayes,JS Wilson,Struck down,False,3.0,True,ind-vs-ban-2nd-test-bangladesh-tour-of-india-2019,Batting,False,False,,
Bangladesh 2nd innings,12.5,"Shami to Mominul, out Lbw!! Huge appeal from Shami for lbw, umpire Rod Tucker ain't too interested and rejects it. Shami is so convinced that he walks up to his skipper asking him to go for the review. This looked really close on first viewing. Not a no-ball. Flat line on the UltraEdge. Over to ball-tracking.. Three reds and it predicts that the ball is going to smash the leg-stump. That escalated pretty quickly, ain't it? Shami is showing why he's a different beast when it comes to the second innings. It was the pacer, who persuaded Kohli to take the review and he's spot on. This cut back in from a length, Mominul was going nowhere after shuffling a bit and getting chained in the crease. Unable to combat the movement, gets rapped on the pad around the knee-roll. It looked plumb and there you go! Three down now are Bangladesh and it's all going downhill for the visitors. Mominul lbw b Shami 7(20) [4s-1]",3,"Over 12.5: Review by India (Bowling), Umpire - RJ Tucker, Batsman - Mominul Haque (Upheld)",India (Bowling),Mominul Haque,RJ Tucker,Upheld,False,4.0,True,ind-vs-ban-1st-test-bangladesh-tour-of-india-2019,Bowling,True,False,,
India 1st innings,31.5,"Abu Jayed to Kohli, out Lbw!! Length delivery nipped in and Kohli ended up playing across the line a bit. Abu Jayed appealed and convinced his skipper to take the review. And the replays certainly painted a more concerned picture for Kohli as it looked close. HawkEye cleared the picture and showed us three reds. The skipper is gone for a rare duck as Bangladesh fight back. That was a lovely delivery though. Unassuming one which caught the Indian skipper by surprise. The footwork also wasn't up to the mark and that plotted his downfall. Kohli lbw b Abu Jayed 0(2)",3,"Over 31.5: Review by Bangladesh (Bowling), Umpire - RJ Tucker, Batsman - V Kohli (Upheld)",Bangladesh (Bowling),V Kohli,RJ Tucker,Upheld,False,1.0,True,ind-vs-ban-1st-test-bangladesh-tour-of-india-2019,Bowling,True,False,,
Australia 2nd innings,55.6,"Jack Leach to Paine, out Lbw!! Paine leaves his way to his doom. And 2-2 tonight is a reality again. He goes back deep in the crease to a delivery he should ideally have been forward to, and then surprisingly leaves this ball that was straightening back from the line of leg. Dharmasena took forever to give this out - maybe in doing what Joel Wilson didn't, calculate who has their reviews left. Paine does. He sends it upstairs. And it's three reds, pitching just in line, and the rest was always plumb. Paine lbw b Jack Leach 21(34) [4s-4]",6,"Over 55.6: Review by Australia (Batting), Umpire - HDPK Dharmasena, Batsman - TD Paine (Struck down)",Australia (Batting),TD Paine,HDPK Dharmasena,Struck down,False,10.0,True,eng-vs-aus-5th-test-the-ashes-2019,Batting,False,False,,
England 2nd innings,92.3,"Pat Cummins to Jofra Archer, out Caught by Paine!! A half-hearted appeal for caught-behind. Strangled down leg? Paine decides to review it. Fair delivery. Shortish ball, just above the ribs and Archer was looking to tickle it away. There's a spike on UltraEdge and Archer has to depart. The on-field call has been reversed. Paine reviews one correctly ... finally! The ploy to bowl short to Archer has worked. All three were on the shorter side, this time it brushed the gloves of the batter and Paine moved to his left to gobble that up. Jofra Archer c Paine b Pat Cummins 3(9)",9,"Over 92.3: Review by Australia (Bowling), Umpire - M Erasmus, Batsman - JC Archer (Upheld)",Australia (Bowling),JC Archer,M Erasmus,Upheld,False,6.0,True,eng-vs-aus-5th-test-the-ashes-2019,Bowling,True,False,,
Australia 1st innings,53.5,"Sam Curran to Pat Cummins, out Lbw!! The dreaded finger of umpire Marais Erasmus goes up in a flash and Cummins has been adjudged lbw. The batter has decided to challenge it. Fair delivery. It's the inswinger from Curran and Cummins is beaten on the inside edge. Three reds on HawkEye! Australia lose a review and Curran is on a hat-trick! That looked plumb to the naked eye! Full and swinging in, Cummins isn't equipped to keep it away as tries to push. Missed the inside edge, pinned the front pad in front of the sticks. The ball-tracking showed it to be hitting middle and leg. Pat Cummins lbw b Sam Curran 0(1)",7,"Over 53.5: Review by Australia (Batting), Umpire - M Erasmus, Batsman - PJ Cummins (Struck down)",Australia (Batting),PJ Cummins,M Erasmus,Struck down,False,11.0,True,eng-vs-aus-5th-test-the-ashes-2019,Batting,False,False,,
Australia 1st innings,1.5,"Jofra Archer to Warner, out Caught by Bairstow!! An appeal for caught-behind! Marais Erasmus shakes his head in denial and Root decides to review it. Fair delivery. Flashed his bat at a wide away-seaming ball did Warner. The third umpire is waiting for the UltraEdge... And, surprise.. There's a spike on the UltraEdge. The on-field call has been reversed. Yet another low score for Warner - his eighth single-digit score in nine innings. To the naked eye, it looked like it missed the edge, but thanks to the technology, the correct call is made. Was a half-hearted appeal from England, apart from Stokes (second slip). Root took his time before sending it upstairs. In the end, turned out to be a masterstroke. Warner c Bairstow b Jofra Archer 5(8) [4s-1]",1,"Over 1.5: Review by England (Bowling), Umpire - M Erasmus, Batsman - DA Warner (Upheld)",England (Bowling),DA Warner,M Erasmus,Upheld,False,1.0,True,eng-vs-aus-5th-test-the-ashes-2019,Bowling,True,False,,
England 1st innings,59.4,"Mitchell Marsh to Bairstow, out Lbw!! Bairstow has been adjudged lbw by umpire Marais Erasmus and he has reviewed that call. Fair delivery. A big, booming inswinger and it crashes into Bairstow's front pad. No bat. Three reds on HawkEye! England waste a review. After all those outswingers, Marsh gets one to curl into the right-hander and Bairstow had no clue against it. The length was perfect too - a toe-crushing yorker and Bairstow was too late in bringing his bat down. The ball-tracking showed it to be hitting leg. Superb bowling, this from Marsh. He is pumped up! Bairstow lbw b Mitchell Marsh 22(55) [4s-3]",5,"Over 59.4: Review by England (Batting), Umpire - M Erasmus, Batsman - JM Bairstow (Struck down)",England (Batting),JM Bairstow,M Erasmus,Struck down,False,8.0,True,eng-vs-aus-5th-test-the-ashes-2019,Batting,False,False,,
England 2nd innings,115.2,"Pattinson to Broad, out Lbw!! Dead. Buried. Dead-in-glee. It's a vicious yorker, absolute brute, and umpire Gaffaney ups his DRS Karma points. Broad's mind knows only one thing, the bouncer, and he's perpetually ready, jumping up to Pattinson's proper bluffing yorker that sneaks under his bat and pins him plumb on the front boot. Three Reds.  Never mind the review .. Broad lbw b Pattinson 0(2)",9,"Over 115.2: Review by England (Batting), Umpire - CB Gaffaney, Batsman - SCJ Broad (Struck down)",England (Batting),SCJ Broad,CB Gaffaney,Struck down,False,13.0,True,eng-vs-aus-3rd-test-the-ashes-2019,Batting,False,False,,
Australia 2nd innings,53.3,"Broad to Paine, out Caught by Denly!! This time the finger is raised. It appears that Paine was given leg-before on the field, a decision he challenges immediately due to the involvement of an inside edge. But even the catch was taken at gully, which Paine was aware of. So, all in all, it's a strange review. He would've been out one way or another. Actually, ball-tracking had it going over the stumps. But, come on, it's still a strange review. Paine c Denly b Broad 0(2)",6,"Over 53.3: Review by Australia (Batting), Umpire - JS Wilson, Batsman - TD Paine (Struck down)",Australia (Batting),TD Paine,JS Wilson,Struck down,False,15.0,True,eng-vs-aus-3rd-test-the-ashes-2019,Batting,False,False,,
England 1st innings,26.4,"Pat Cummins to Jofra Archer, out Caught by Paine!! Archer reviews just for the sake of it. Don't think he truly believes he's going to get away. Had left his bat hanging up while ducking underneath the short ball and such is the state of England's shambles that it flicks the bat-face through to Paine. Jofra Archer c Paine b Pat Cummins 7(8) [4s-1]",9,"Over 26.4: Review by England (Batting), Umpire - CB Gaffaney, Batsman - JC Archer (Struck down)",England (Batting),JC Archer,CB Gaffaney,Struck down,False,5.0,True,eng-vs-aus-3rd-test-the-ashes-2019,Batting,False,False,,
Australia 1st innings,51.2,"Stokes to Labuschagne, out Lbw! Given out and it's reviewed by Australia! Unless the impact is outside off, I don't see this being overturned. A surprise of a full-toss in store for Labuschagne, who is struck on the back-pad. Is there bat? Might be! Nope, no bat. Impact in-line, that was the only thing that could have saved him, and the dipping full-toss is crashing into the very center of the middle-pole. A rather eccentric dismissal, that found Labuschagne on his knees at the end of it all, but an important one for England. Labuschagne lbw b Stokes 74(129) [4s-10]",9,"Over 51.2: Review by Australia (Batting), Umpire - JS Wilson, Batsman - M Labuschagne (Struck down)",Australia (Batting),M Labuschagne,JS Wilson,Struck down,False,14.0,True,eng-vs-aus-3rd-test-the-ashes-2019,Batting,False,False,,
Australia 1st innings,49.6,"Jofra Archer to Pat Cummins, out Caught by Bairstow! The Archer hits bull's eye! Maiden five-for for him. Or is it? Pat Cummins has gone for the review. Yep, there's a spike as the ball goes past the bat, but there was already some background noise. Well, certainly some scope for controversy here. No conclusive evidence, but also, to the naked eye, no visible daylight between bat and ball and nothing else that could have produced the noise. The ball - a good length one in the zone, jagging away just a little to find the outside edge, giving Jofra his fifth wicket! Pat Cummins c Bairstow b Jofra Archer 0(13)",8,"Over 49.6: Review by Australia (Batting), Umpire - JS Wilson, Batsman - PJ Cummins (Struck down)",Australia (Batting),PJ Cummins,JS Wilson,Struck down,False,11.0,True,eng-vs-aus-3rd-test-the-ashes-2019,Batting,False,False,,
Australia 1st innings,42.6,"Woakes to Paine, out Lbw!! So this faulty umpiring is clearly transcending people now, with Chris Gaffaney carrying on the legacy left behind for him by some of his more illustrious colleagues -- getting his third decision of the day overturned. England have it in their favour now, with Woakes trapping Paine with an in-nipper as Paine plays this completely down the wrong line. Not given. Only for HawkEye to show up three reds. Paine lbw b Woakes 11(26) [4s-1]",6,"Over 42.6: Review by England (Bowling), Umpire - CB Gaffaney, Batsman - TD Paine (Upheld)",England (Bowling),TD Paine,CB Gaffaney,Upheld,False,8.0,True,eng-vs-aus-3rd-test-the-ashes-2019,Bowling,True,False,,
Australia 1st innings,8.4,"Broad to Khawaja, out Caught by Bairstow! Review! England go up to the third umpire! Guess what? This one is a strangler down leg, and not the usual peach of the English summer, Khawaja is across and gets a feather on the glance. The umpire is unmoved. Root signals the ""T"" straightaway, and the umpire spots a spike as the ball crosses the bat. Huge nick, and the on-field umpire has to go all ""Wakanda Forever"" and raise his finger. Khawaja c Bairstow b Broad 8(17) [4s-1]",2,"Over 8.4: Review by England (Bowling), Umpire - CB Gaffaney, Batsman - UT Khawaja (Upheld)",England (Bowling),UT Khawaja,CB Gaffaney,Upheld,False,0.0,True,eng-vs-aus-3rd-test-the-ashes-2019,Bowling,True,False,,
Australia 1st innings,93.1,"Jack Leach to Lyon, out Lbw!! Given out on the field. Lyon's decided to take it upstairs. The thing to watch here is whether this is sliding down. It came in with the arm from Leach, had Lyon playing outside the line of it. Ball-tracking's verdict is that it's hitting middle and leg. The ball had actually straightened enough from round the wicket. Lyon lbw b Jack Leach 6(17)",9,"Over 93.1: Review by Australia (Batting), Umpire - CB Gaffaney, Batsman - NM Lyon (Struck down)",Australia (Batting),NM Lyon,CB Gaffaney,Struck down,False,12.0,True,eng-vs-aus-2nd-test-the-ashes-2019,Batting,False,False,,
Australia 1st innings,87.5,"Woakes to Smith, out Lbw!! A token review from Smith who knows he's gone. He's padded up to a full ball that's come in with the angle, hitting him right in front of off stump. Just a horrible misjudgement wherein he expected the ball to swing away from him. Ball-tracking inevitably returns three reds, and Smith has almost crossed the boundary. Another great knock from him though, which is recognized with a generous applause by the majority of the crowd to drown everything else. Smith lbw b Woakes 92(161) [4s-14]",8,"Over 87.5: Review by Australia (Batting), Umpire - CB Gaffaney, Batsman - SPD Smith (Struck down)",Australia (Batting),SPD Smith,CB Gaffaney,Struck down,False,11.0,True,eng-vs-aus-2nd-test-the-ashes-2019,Batting,False,False,,
