innings,Over,Commentary,active_partnership,reviews,Review_team,Review_batsman,Review_umpire,Review_outcome,Umpires_call,index,Partnership_broken,match,innings_action,overturned,review_lost,first_review_lost,second_review_lost
Australia 2nd innings,6.1,"Starc to Denly, no run, angled across the off-stump, Denly prods forward and defends it to backward point",3,"Over 6.1: Review by Australia (Batting), Umpire - M Erasmus, Batsman - MS Harris (Struck down)",Australia (Batting),MS Harris,M Erasmus,Struck down,False,3.0,False,eng-vs-aus-4th-test-the-ashes-2019,Batting,False,True,True,False
England 2nd innings,91.3,"Lyon to Jofra Archer, no run, flighted delivery on off, Archer stays back as he defends",8,"Over 91.3: Review by England (Batting), Umpire - HDPK Dharmasena, Batsman - C Overton (Struck down)",England (Batting),C Overton,HDPK Dharmasena,Struck down,False,9.0,False,eng-vs-aus-4th-test-the-ashes-2019,Batting,False,True,True,False
England 2nd innings,76.1,"Pat Cummins to Bairstow, no run, fuller length delivery and holding its line outside off, has Bairstow pushing forward and beats him on the outside edge",6,"Over 76.1: Review by Australia (Bowling), Umpire - M Erasmus, Batsman - C Overton (Struck down)",Australia (Bowling),C Overton,M Erasmus,Struck down,False,7.0,False,eng-vs-aus-4th-test-the-ashes-2019,Bowling,False,True,True,False
England 2nd innings,62.5,"Hazlewood to Root, no run, all four balls have been almost on similar lengths - back of a length and Root is quite at home with that, he's back and across to block it down the wicket",3,"Over 62.5: Review by England (Batting), Umpire - M Erasmus, Batsman - C Overton (Upheld)",England (Batting),C Overton,M Erasmus,Upheld,False,4.0,False,eng-vs-aus-4th-test-the-ashes-2019,Batting,True,False,,
Australia 1st innings,119.3,"Root to Starc, 1 run, that's a top decision from umpire Marais Erasmus. It was a real feather and he managed to spot that. Sliding on from round the wicket and Starc goes for the paddle, he was struck in-line but that was after the ball had brushed the glove",1,"Over 119.3: Review by England (Bowling), Umpire - M Erasmus, Batsman - MA Starc (Struck down)",England (Bowling),MA Starc,M Erasmus,Struck down,False,0.0,False,eng-vs-aus-4th-test-the-ashes-2019,Bowling,False,True,True,False
England 2nd innings,123.6,"Pat Cummins to Jack Leach, no run, leg-lined yorker. Leach can't lay bat, but it's pitching clearly down leg as he gets pinned on the front leg. There's barely an appeal, but when desperation hits, why not kill time in reviewing. So the Aussies do, and it's clearly pitching a foot down",10,"Over 123.6: Review by Australia (Bowling), Umpire - CB Gaffaney, Batsman - MJ Leach (Struck down)",Australia (Bowling),MJ Leach,CB Gaffaney,Struck down,False,16.0,False,eng-vs-aus-3rd-test-the-ashes-2019,Bowling,False,True,False,True
England 2nd innings,97.1,"Hazlewood to Bairstow, no run, Bairstow given out caught behind but reviews spontaneously. Just a little too flashy against a ball that came in with the angle and cramped him for room. But he's missed it, there's no edge. Loud cheers. It was through him before the bat came across. Maybe has to temper his aggression a touch. It's worked wonders so far, but it'll help to be more selective. This wasn't a ball to cut",5,"Over 97.1: Review by England (Batting), Umpire - CB Gaffaney, Batsman - JM Bairstow (Upheld)",England (Batting),JM Bairstow,CB Gaffaney,Upheld,False,10.0,False,eng-vs-aus-3rd-test-the-ashes-2019,Batting,True,False,,
England 2nd innings,58.4,"Lyon to Denly, no run, this time Australia have gone for the review, but ball-tracking shows that it's comfortably turning down leg. Denly's hit on the pad again but he's well forward and the turn is significant. Not a smart review",3,"Over 58.4: Review by Australia (Bowling), Umpire - JS Wilson, Batsman - JL Denly (Struck down)",Australia (Bowling),JL Denly,JS Wilson,Struck down,False,7.0,False,eng-vs-aus-3rd-test-the-ashes-2019,Bowling,False,True,True,False
England 2nd innings,51.2,"Hazlewood to Root, no run, looks like an inside edge on this, but it's been given out! An in-tilter, 86.4mph|139kph, seaming back in, Root is trapped on the crease, gets a massive inside edge onto the thigh. Massive inside edge and the decision has to be overturned.",3,"Over 51.2: Review by England (Batting), Umpire - CB Gaffaney, Batsman - JE Root (Upheld)",England (Batting),JE Root,CB Gaffaney,Upheld,False,3.0,False,eng-vs-aus-3rd-test-the-ashes-2019,Batting,True,False,,
Australia 2nd innings,38.2,"Stokes to Labuschagne, no run, And now Labuschagne reviews umpire Gaffaney. It was a nibbler going down leg, which Labuschagne in looking to tickle, tickles through to the keeper? Well, he doesn't think so. Challenges the onfield call, and redeems himself with the UltraEdge showing a spike as the ball goes past the thigh pad",5,"Over 38.2: Review by Australia (Batting), Umpire - CB Gaffaney, Batsman - M Labuschagne (Upheld)",Australia (Batting),M Labuschagne,CB Gaffaney,Upheld,False,12.0,False,eng-vs-aus-3rd-test-the-ashes-2019,Batting,True,False,,
